/media/mike/WD_4TB/karyon_longread/concat_mrl20k_q15l15k_pepper/outputs/redundans/scaffolds.reduced.fasta /media/mike/WD_4TB/karyon_longread/data/assemblies/concat_mrl20k_q15l15k_pepper.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
5953561	5969276	66597	51021	15716	15577	98.50	7631931	76307	0.21	20.41	redundans_scaffold00001	1026
6004871	6019982	32985	17509	15112	15477	95.68	7631931	76307	0.20	20.28	redundans_scaffold00001	1026
6049519	6244493	194978	4	194975	194975	100.00	7631931	194978	2.55	100.00	redundans_scaffold00001	300
6244524	6697452	1	452929	452929	452929	100.00	7631931	606596	5.93	74.67	redundans_scaffold00001	776
6697483	7065944	411625	43164	368462	368462	100.00	7631931	411625	4.83	89.51	redundans_scaffold00001	854
7018920	7038996	16249	36189	20077	19941	96.44	7631931	105635	0.26	18.88	redundans_scaffold00001	1538
7065960	7479760	647333	233533	413801	413801	100.00	7631931	647333	5.42	63.92	redundans_scaffold00001	282
7479776	7611104	1	131329	131329	131329	100.00	7631931	225335	1.72	58.28	redundans_scaffold00001	758
7611120	7631931	1	20812	20812	20812	100.00	7631931	20812	0.27	100.00	redundans_scaffold00001	930
1	641758	1	641758	641758	641758	100.00	4233092	641758	15.16	100.00	redundans_scaffold00002	34
486026	510586	121919	97331	24561	24589	99.05	4233092	168270	0.58	14.61	redundans_scaffold00002	1318
491518	510591	1670	20762	19074	19093	98.90	4233092	168270	0.45	11.35	redundans_scaffold00002	1318
656275	1158108	501834	1	501834	501834	100.00	4233092	501834	11.86	100.00	redundans_scaffold00002	116
1051764	1073199	825456	804037	21436	21420	94.64	4233092	1115537	0.51	1.92	redundans_scaffold00002	844
1158948	1358022	1	199075	199075	199075	100.00	4233092	199075	4.70	100.00	redundans_scaffold00002	274
1358041	1461371	1	103331	103331	103331	100.00	4233092	103352	2.44	99.98	redundans_scaffold00002	1206
1461402	2166357	1	704956	704956	704956	100.00	4233092	2072160	16.65	34.02	redundans_scaffold00002	40
1646644	1666920	1373843	1353667	20277	20177	95.94	4233092	1461736	0.48	1.38	redundans_scaffold00002	88
1794789	1812617	1226543	1208702	17829	17842	95.55	4233092	1461736	0.42	1.22	redundans_scaffold00002	88
1983822	2002722	1063628	1044808	18901	18821	93.16	4233092	1461736	0.45	1.29	redundans_scaffold00002	88
2005827	2031444	1040826	1015357	25618	25470	95.75	4233092	1461736	0.61	1.74	redundans_scaffold00002	88
2091077	2108138	955211	938283	17062	16929	98.10	4233092	1461736	0.40	1.16	redundans_scaffold00002	88
2166373	2598122	1	431750	431750	431750	100.00	4233092	584218	10.20	73.90	redundans_scaffold00002	964
2187379	2202951	20236	35483	15573	15248	96.83	4233092	123327	0.37	12.36	redundans_scaffold00002	1722
2598153	3110180	1	512028	512028	512028	100.00	4233092	1115537	12.10	45.90	redundans_scaffold00002	844
2615242	2634505	63080	43806	19264	19275	99.01	4233092	234719	0.46	8.21	redundans_scaffold00002	66
2638156	2663992	40548	14740	25837	25809	99.13	4233092	234719	0.61	11.00	redundans_scaffold00002	66
3110196	4233092	1122897	1	1122897	1122897	100.00	4233092	1122897	26.53	100.00	redundans_scaffold00002	870
3844353	3860588	894593	910937	16236	16345	98.47	4233092	1115537	0.38	1.47	redundans_scaffold00002	844
3898792	3921236	972062	994458	22445	22397	99.16	4233092	1115537	0.53	2.01	redundans_scaffold00002	844
1	275713	1	275713	275713	275713	99.96	1277122	1778376	21.59	15.50	redundans_scaffold00003	120
274958	1277122	1	1002165	1002165	1002165	100.00	1277122	1002165	78.47	100.00	redundans_scaffold00003	542
282182	299227	123576	140878	17046	17303	96.75	1277122	973870	1.33	1.78	redundans_scaffold00003	308
381036	406953	219361	245262	25918	25902	96.14	1277122	973870	2.03	2.66	redundans_scaffold00003	308
454452	475428	296750	317677	20977	20928	97.76	1277122	973870	1.64	2.15	redundans_scaffold00003	308
659550	677785	185789	204099	18236	18311	99.31	1277122	671700	1.43	2.73	redundans_scaffold00003	216
659550	677787	11416	29728	18238	18313	99.41	1277122	705048	1.43	2.60	redundans_scaffold00003	716
660408	677785	581239	598670	17378	17432	99.42	1277122	807704	1.36	2.16	redundans_scaffold00003	482
908302	923398	754154	769230	15097	15077	93.09	1277122	973870	1.18	1.55	redundans_scaffold00003	308
995128	1012105	577437	594400	16978	16964	99.54	1277122	598935	1.33	2.83	redundans_scaffold00003	304
995128	1012102	709813	692844	16975	16970	99.74	1277122	1115537	1.33	1.52	redundans_scaffold00003	844
1	823402	823402	1	823402	823402	100.00	8698415	823402	9.47	100.00	redundans_scaffold00004	734
884453	1013404	161005	32054	128952	128952	100.00	8698415	161005	1.48	80.09	redundans_scaffold00004	1552
1013420	1723187	1046702	336935	709768	709768	100.00	8698415	1046702	8.16	67.81	redundans_scaffold00004	258
1665610	1682554	26989	10037	16945	16953	99.48	8698415	192268	0.19	8.82	redundans_scaffold00004	276
1723203	2218819	651040	155424	495617	495617	100.00	8698415	651040	5.70	76.13	redundans_scaffold00004	754
2159643	2177045	381605	399021	17403	17417	98.07	8698415	447108	0.20	3.90	redundans_scaffold00004	1226
2218835	3109417	1	890583	890583	890583	100.00	8698415	891670	10.24	99.88	redundans_scaffold00004	242
2254144	2277849	743684	719919	23706	23766	98.05	8698415	779274	0.27	3.05	redundans_scaffold00004	128
2324906	2347222	672644	650254	22317	22391	97.15	8698415	779274	0.26	2.87	redundans_scaffold00004	128
2410897	2431189	584163	563218	20293	20946	93.99	8698415	779274	0.23	2.69	redundans_scaffold00004	128
2525293	2544429	196236	177105	19137	19132	96.25	8698415	542705	0.22	3.53	redundans_scaffold00004	20
2563482	2581306	502957	485128	17825	17830	97.57	8698415	779274	0.20	2.29	redundans_scaffold00004	128
2763486	2785341	325755	304048	21856	21708	97.26	8698415	779274	0.25	2.79	redundans_scaffold00004	128
2841029	2858866	105617	87583	17838	18035	92.90	8698415	536747	0.21	3.36	redundans_scaffold00004	1000
2859191	2875286	87087	71002	16096	16086	90.51	8698415	536747	0.19	3.00	redundans_scaffold00004	1000
3109433	3374292	556529	291670	264860	264860	100.00	8698415	556529	3.04	47.59	redundans_scaffold00004	62
3374308	4319453	1	945146	945146	945146	100.00	8698415	999567	10.87	94.56	redundans_scaffold00004	500
4117650	4135535	241559	259245	17886	17687	92.77	8698415	389434	0.21	4.54	redundans_scaffold00004	902
4198367	4213964	276923	261333	15598	15591	99.48	8698415	1137748	0.18	1.37	redundans_scaffold00004	486
4319469	4703662	472207	88014	384194	384194	100.00	8698415	472207	4.42	81.36	redundans_scaffold00004	1290
4651763	4669016	17638	384	17254	17255	99.16	8698415	21081	0.20	81.85	redundans_scaffold00004	1822
4651763	4669038	458550	475984	17276	17435	96.52	8698415	519590	0.20	3.36	redundans_scaffold00004	682
4703693	4862643	1	158951	158951	158951	100.00	8698415	213869	1.83	74.32	redundans_scaffold00004	56
4862659	5006964	313144	168839	144306	144306	100.00	8698415	313144	1.66	46.08	redundans_scaffold00004	810
5006980	5036983	188007	158004	30004	30004	100.00	8698415	188007	0.34	15.96	redundans_scaffold00004	1612
5036999	5516717	579196	99478	479719	479719	100.00	8698415	579196	5.52	82.82	redundans_scaffold00004	956
5516733	6085929	730308	161112	569197	569197	100.00	8698415	730308	6.54	77.94	redundans_scaffold00004	546
6085960	7147751	1	1061792	1061792	1061792	100.00	8698415	1440284	12.21	73.72	redundans_scaffold00004	912
6183483	6199076	297225	281639	15594	15587	99.67	8698415	1046702	0.18	1.49	redundans_scaffold00004	258
6183486	6199075	123672	108123	15590	15550	99.51	8698415	304075	0.18	5.11	redundans_scaffold00004	402
6183486	6199076	276923	261332	15591	15592	99.68	8698415	1137748	0.18	1.37	redundans_scaffold00004	486
6183486	6199075	554	16150	15590	15597	99.42	8698415	67214	0.18	23.20	redundans_scaffold00004	510
6183486	6199075	403874	388286	15590	15589	99.74	8698415	414048	0.18	3.77	redundans_scaffold00004	68
6183486	6199075	111932	127522	15590	15591	99.71	8698415	278026	0.18	5.61	redundans_scaffold00004	934
6369800	6387189	40360	23062	17390	17299	93.74	8698415	157741	0.20	10.97	redundans_scaffold00004	696
6464597	6481529	1062035	1045422	16933	16614	96.32	8698415	1062192	0.19	1.56	redundans_scaffold00004	26
6538342	6564864	984376	957767	26523	26610	97.09	8698415	1062192	0.30	2.51	redundans_scaffold00004	26
6685239	6704862	835323	815537	19624	19787	97.06	8698415	1062192	0.23	1.86	redundans_scaffold00004	26
6959685	6978136	546085	527618	18452	18468	97.75	8698415	1062192	0.21	1.74	redundans_scaffold00004	26
7147767	7328635	1	180869	180869	180869	100.00	8698415	287137	2.08	62.99	redundans_scaffold00004	484
7328651	7409258	163916	83394	80608	80523	99.87	8698415	163916	0.93	49.12	redundans_scaffold00004	492
7408835	7786591	1	377757	377757	377757	100.00	8698415	392215	4.34	96.31	redundans_scaffold00004	606
7786622	7927572	476215	335265	140951	140951	100.00	8698415	476215	1.62	29.60	redundans_scaffold00004	212
7927588	8698415	770828	1	770828	770828	100.00	8698415	770828	8.86	100.00	redundans_scaffold00004	508
1	877684	1	877684	877684	877684	100.00	2296360	1363323	38.22	64.38	redundans_scaffold00005	326
332805	351479	63035	81679	18675	18645	97.00	2296360	347862	0.81	5.36	redundans_scaffold00005	154
877700	2296360	1	1418661	1418661	1418661	100.00	2296360	1418661	61.78	100.00	redundans_scaffold00005	364
1751414	1768431	359411	376454	17018	17044	93.74	2296360	395638	0.74	4.31	redundans_scaffold00005	1076
1968932	1986614	885917	903477	17683	17561	97.71	2296360	1363323	0.77	1.29	redundans_scaffold00005	326
1	1401366	1	1401366	1401366	1401366	100.00	1401366	1401366	100.00	100.00	redundans_scaffold00006	582
94977	110434	323269	338851	15458	15583	92.95	1401366	428885	1.10	3.63	redundans_scaffold00006	550
98122	121673	479497	455855	23552	23643	97.99	1401366	598935	1.68	3.95	redundans_scaffold00006	304
121704	138990	455192	437962	17287	17231	96.24	1401366	598935	1.23	2.88	redundans_scaffold00006	304
214047	237893	370841	346906	23847	23936	97.72	1401366	598935	1.70	4.00	redundans_scaffold00006	304
352677	369751	240514	223499	17075	17016	97.37	1401366	598935	1.22	2.84	redundans_scaffold00006	304
1	135831	1	135831	135831	135831	100.00	6946571	519590	1.96	26.14	redundans_scaffold00007	682
135847	631167	1	495321	495321	495321	100.00	6946571	495321	7.13	100.00	redundans_scaffold00007	636
368352	385304	10033	26987	16953	16955	99.51	6946571	192268	0.24	8.82	redundans_scaffold00007	276
369498	385306	200194	215913	15809	15720	99.05	6946571	271829	0.23	5.78	redundans_scaffold00007	1516
631605	1972450	1	1340846	1340846	1340846	100.00	6946571	1340846	19.30	100.00	redundans_scaffold00007	214
2021488	2498295	476817	10	476808	476808	100.00	6946571	476817	6.86	100.00	redundans_scaffold00007	766
2498311	2907959	409649	1	409649	409649	100.00	6946571	409649	5.90	100.00	redundans_scaffold00007	764
2587987	2605820	209823	227445	17834	17623	97.64	6946571	315315	0.26	5.59	redundans_scaffold00007	1234
2619960	2637216	178790	161994	17257	16797	96.14	6946571	209658	0.25	8.01	redundans_scaffold00007	196
2928508	3039201	1	110694	110694	110694	100.00	6946571	147585	1.59	75.00	redundans_scaffold00007	1028
3039217	3056962	102649	120703	17746	18055	97.46	6946571	147585	0.26	12.23	redundans_scaffold00007	1028
3039217	3093769	223334	168782	54553	54553	100.00	6946571	223334	0.79	24.43	redundans_scaffold00007	896
3093785	3201073	1	107289	107289	107289	100.00	6946571	118695	1.54	90.39	redundans_scaffold00007	568
3201089	3748381	670801	123509	547293	547293	100.00	6946571	670801	7.88	81.59	redundans_scaffold00007	208
3748397	4340757	1009615	417263	592361	592353	99.97	6946571	1009615	8.53	58.67	redundans_scaffold00007	736
4171508	4190152	394825	376240	18645	18586	96.55	6946571	807704	0.27	2.30	redundans_scaffold00007	482
4339488	4645487	1	306000	306000	306000	100.00	6946571	306000	4.41	100.00	redundans_scaffold00007	618
4694148	5209808	515661	1	515661	515661	100.00	6946571	515661	7.42	100.00	redundans_scaffold00007	104
5122167	5144787	23050	428	22621	22623	98.12	6946571	36325	0.33	62.28	redundans_scaffold00007	538
5223344	5535688	1	312345	312345	312345	100.00	6946571	312509	4.50	99.95	redundans_scaffold00007	838
5234908	5251344	16423	32749	16437	16327	95.68	6946571	285085	0.24	5.73	redundans_scaffold00007	182
5278697	5294165	60518	76025	15469	15508	94.53	6946571	285085	0.22	5.44	redundans_scaffold00007	182
5381894	5397799	164665	180614	15906	15950	96.51	6946571	285085	0.23	5.59	redundans_scaffold00007	182
5445355	5463461	1016029	997932	18107	18098	99.61	6946571	1263523	0.26	1.43	redundans_scaffold00007	0
5445357	5463462	258861	276946	18106	18086	99.61	6946571	568477	0.26	3.18	redundans_scaffold00007	94
5463462	5486476	224257	247242	23015	22986	97.71	6946571	285085	0.33	8.06	redundans_scaffold00007	182
5492874	5510689	125069	142678	17816	17610	94.12	6946571	145532	0.26	12.10	redundans_scaffold00007	722
5547772	5573920	26149	1	26149	26149	100.00	6946571	26149	0.38	100.00	redundans_scaffold00007	1362
5575515	5668353	92839	1	92839	92839	100.00	6946571	92839	1.34	100.00	redundans_scaffold00007	408
5586321	5606086	33148	52869	19766	19722	92.14	6946571	52869	0.28	37.30	redundans_scaffold00007	106
5646633	5664462	34815	52661	17830	17847	91.80	6946571	141088	0.26	12.65	redundans_scaffold00007	1044
5668710	5894451	278054	52313	225742	225742	100.00	6946571	278054	3.25	81.19	redundans_scaffold00007	648
5894467	6946571	1	1052105	1052105	1052105	100.00	6946571	1052105	15.15	100.00	redundans_scaffold00007	362
1	239800	1	239800	239800	239800	100.00	2204953	458420	10.88	52.31	redundans_scaffold00008	142
239816	1509422	1	1269607	1269607	1269607	100.00	2204953	1269619	57.58	100.00	redundans_scaffold00008	100
433151	449224	261405	277308	16074	15904	92.57	2204953	458420	0.73	3.47	redundans_scaffold00008	142
576271	591618	36092	51442	15348	15351	98.72	2204953	51450	0.70	29.84	redundans_scaffold00008	1658
576274	591614	1197224	1181874	15341	15351	99.09	2204953	1263523	0.70	1.21	redundans_scaffold00008	0
1455149	1474427	586851	606127	19279	19277	92.22	2204953	643475	0.87	3.00	redundans_scaffold00008	672
1509438	1600398	90961	1	90961	90961	100.00	2204953	90961	4.13	100.00	redundans_scaffold00008	1422
1609685	2204953	1	595269	595269	595269	100.00	2204953	595269	27.00	100.00	redundans_scaffold00008	740
1830491	1850154	228407	248091	19664	19685	96.65	2204953	584395	0.89	3.37	redundans_scaffold00008	294
1853814	1871788	250356	268199	17975	17844	97.14	2204953	584395	0.82	3.05	redundans_scaffold00008	294
2044970	2062232	456916	474296	17263	17381	94.96	2204953	584395	0.78	2.97	redundans_scaffold00008	294
1	99133	1	99133	99133	99133	100.00	2205126	106085	4.50	93.45	redundans_scaffold00009	1388
99149	267818	1	168670	168670	168670	100.00	2205126	171036	7.65	98.62	redundans_scaffold00009	1190
120540	145095	190460	165889	24556	24572	99.61	2205126	520971	1.11	4.72	redundans_scaffold00009	512
267834	768981	839460	338313	501148	501148	100.00	2205126	839460	22.73	59.70	redundans_scaffold00009	256
768997	1161526	1	392530	392530	392530	100.00	2205126	1263523	17.80	31.07	redundans_scaffold00009	0
855239	872933	330066	312189	17695	17878	96.24	2205126	839460	0.80	2.13	redundans_scaffold00009	256
956310	971476	221877	206734	15167	15144	97.13	2205126	839460	0.69	1.80	redundans_scaffold00009	256
973968	991437	203060	185645	17470	17416	96.98	2205126	839460	0.79	2.07	redundans_scaffold00009	256
994809	1020749	182538	156793	25941	25746	97.64	2205126	839460	1.18	3.07	redundans_scaffold00009	256
1024797	1039917	150886	135739	15121	15148	95.81	2205126	839460	0.69	1.80	redundans_scaffold00009	256
1050865	1067962	116106	98985	17098	17122	98.49	2205126	839460	0.78	2.04	redundans_scaffold00009	256
1112447	1133973	34858	13258	21527	21601	98.80	2205126	839460	0.98	2.57	redundans_scaffold00009	256
1161542	1932974	771438	6	771433	771433	100.00	2205126	771438	34.98	100.00	redundans_scaffold00009	434
1205880	1222449	135289	118708	16570	16582	99.27	2205126	179477	0.75	9.24	redundans_scaffold00009	634
1225103	1244933	79154	98984	19831	19831	99.68	2205126	136296	0.90	14.55	redundans_scaffold00009	556
1256420	1277441	45582	66491	21022	20910	98.28	2205126	136296	0.95	15.34	redundans_scaffold00009	556
1475389	1496270	273681	294596	20882	20916	97.35	2205126	694223	0.95	3.01	redundans_scaffold00009	518
1932990	1961188	1	28199	28199	28199	100.00	2205126	28208	1.28	99.97	redundans_scaffold00009	416
1961204	2205126	1	243923	243923	243923	100.00	2205126	243923	11.06	100.00	redundans_scaffold00009	418
1	75882	75882	1	75882	75882	100.00	1733720	75882	4.38	100.00	redundans_scaffold00010	782
75900	198003	1	122104	122104	122104	100.00	1733720	122121	7.04	99.99	redundans_scaffold00010	1602
198019	536828	897899	559090	338810	338810	100.00	1733720	897899	19.54	37.73	redundans_scaffold00010	502
536844	1733720	1	1196877	1196877	1196877	100.00	1733720	1196877	69.04	100.00	redundans_scaffold00010	174
1010125	1029241	300053	280931	19117	19123	98.05	1733720	897899	1.10	2.13	redundans_scaffold00010	502
1051942	1068958	241329	224356	17017	16974	94.49	1733720	897899	0.98	1.89	redundans_scaffold00010	502
1605927	1622941	69779	86791	17015	17013	95.21	1733720	536747	0.98	3.17	redundans_scaffold00010	1000
1662454	1687952	114862	140212	25499	25351	97.79	1733720	536747	1.47	4.72	redundans_scaffold00010	1000
1703026	1728472	159587	185013	25447	25427	97.95	1733720	536747	1.47	4.74	redundans_scaffold00010	1000
1	117752	1	117752	117752	117752	100.00	2021573	271829	5.82	43.32	redundans_scaffold00011	1516
117783	1246256	1	1128474	1128474	1128474	100.00	2021573	1128485	55.82	100.00	redundans_scaffold00011	84
248737	265839	85991	103088	17103	17098	94.95	2021573	1047152	0.85	1.63	redundans_scaffold00011	1086
346567	364757	164984	182896	18191	17913	94.16	2021573	1047152	0.90	1.71	redundans_scaffold00011	1086
488847	507097	301203	319425	18251	18223	96.51	2021573	1047152	0.90	1.74	redundans_scaffold00011	1086
579279	601049	129944	108067	21771	21878	98.64	2021573	296502	1.08	7.38	redundans_scaffold00011	1348
579280	603319	84856	108857	24040	24002	99.01	2021573	801196	1.19	3.00	redundans_scaffold00011	968
579283	603319	236226	260324	24037	24099	99.36	2021573	474369	1.19	5.08	redundans_scaffold00011	262
584622	601884	81692	64574	17263	17119	95.68	2021573	347862	0.85	4.92	redundans_scaffold00011	154
1246272	1292890	1	46619	46619	46619	100.00	2021573	46626	2.31	99.98	redundans_scaffold00011	1682
1292906	1350657	1	57752	57752	57752	100.00	2021573	102151	2.86	56.54	redundans_scaffold00011	1546
1350688	1739585	388898	1	388898	388898	100.00	2021573	388898	19.24	100.00	redundans_scaffold00011	1004
1771910	2021573	1	249664	249664	249664	100.00	2021573	249664	12.35	100.00	redundans_scaffold00011	334
1889251	1904537	326150	341516	15287	15367	98.46	2021573	624240	0.76	2.46	redundans_scaffold00011	360
1	169683	193909	24227	169683	169683	100.00	3026171	193909	5.61	87.51	redundans_scaffold00012	1306
169699	343043	292323	119088	173345	173236	99.85	3026171	292323	5.73	59.26	redundans_scaffold00012	476
340130	513092	1	172963	172963	172963	100.00	3026171	173150	5.72	99.89	redundans_scaffold00012	1556
513123	1106132	593010	1	593010	593010	100.00	3026171	593010	19.60	100.00	redundans_scaffold00012	52
998511	1015761	66812	84045	17251	17234	99.24	3026171	948948	0.57	1.82	redundans_scaffold00012	138
998512	1015761	475959	458550	17250	17410	97.33	3026171	519590	0.57	3.35	redundans_scaffold00012	682
1161039	1748334	1	587296	587296	587296	100.00	3026171	1110641	19.41	52.88	redundans_scaffold00012	664
1748365	1957799	671700	462266	209435	209435	100.00	3026171	671700	6.92	31.18	redundans_scaffold00012	216
1826098	1841363	469592	454336	15266	15257	94.36	3026171	558109	0.50	2.73	redundans_scaffold00012	1332
1957815	2023311	112244	46748	65497	65497	100.00	3026171	112244	2.16	58.35	redundans_scaffold00012	1640
1966341	1987963	24028	2416	21623	21613	99.80	3026171	141638	0.71	15.26	redundans_scaffold00012	1774
1966341	1987964	500060	478441	21624	21620	99.86	3026171	871801	0.71	2.48	redundans_scaffold00012	468
1966346	1987963	494377	472775	21618	21603	98.39	3026171	520971	0.71	4.15	redundans_scaffold00012	512
1969997	1987962	29515	11548	17966	17968	99.72	3026171	395080	0.59	4.55	redundans_scaffold00012	14
1970564	1987967	473881	456477	17404	17405	99.76	3026171	671700	0.58	2.59	redundans_scaffold00012	216
2023342	2115294	1	91953	91953	91953	100.00	3026171	456556	3.04	20.14	redundans_scaffold00012	1456
2115310	2227667	171857	59500	112358	112358	100.00	3026171	171857	3.71	65.38	redundans_scaffold00012	260
2227683	2401559	1	173877	173877	173877	100.00	3026171	310515	5.75	56.00	redundans_scaffold00012	662
2401575	3026171	624597	1	624597	624597	100.00	3026171	624597	20.64	100.00	redundans_scaffold00012	220
2419853	2438884	20432	1428	19032	19005	99.67	3026171	948948	0.63	2.00	redundans_scaffold00012	138
2420464	2438882	186387	168101	18419	18287	98.22	3026171	271829	0.61	6.73	redundans_scaffold00012	1516
2497532	2512800	525292	509989	15269	15304	97.25	3026171	544002	0.50	2.81	redundans_scaffold00012	80
2800345	2828140	241134	213029	27796	28106	98.02	3026171	544002	0.92	5.17	redundans_scaffold00012	80
2997721	3013236	59841	44235	15516	15607	95.96	3026171	544002	0.51	2.87	redundans_scaffold00012	80
16	1100830	1	1100815	1100815	1100815	100.00	1100830	1100815	100.00	100.00	redundans_scaffold00013	244
78763	100100	30215	52411	21338	22197	93.00	1100830	476481	1.94	4.66	redundans_scaffold00013	832
782113	799365	22158	39404	17253	17247	99.50	1100830	56978	1.57	30.27	redundans_scaffold00013	1776
853320	874112	224990	245608	20793	20619	98.74	1100830	395080	1.89	5.22	redundans_scaffold00013	14
853320	874112	112713	133674	20793	20962	98.13	1100830	705048	1.89	2.97	redundans_scaffold00013	716
927026	945452	168102	186387	18427	18286	97.98	1100830	271829	1.67	6.73	redundans_scaffold00013	1516
1072545	1092521	218500	198388	19977	20113	94.93	1100830	308482	1.81	6.52	redundans_scaffold00013	1034
1074361	1091259	17945	1092	16899	16854	97.63	1100830	283428	1.54	5.95	redundans_scaffold00013	586
1076117	1092518	202214	185693	16402	16522	94.95	1100830	308482	1.49	5.36	redundans_scaffold00013	1034
1080992	1096814	192590	176694	15823	15897	94.96	1100830	308482	1.44	5.15	redundans_scaffold00013	1034
1082442	1100830	939435	921124	18389	18312	96.28	1100830	1110641	1.67	1.65	redundans_scaffold00013	664
1084254	1099920	37174	21715	15667	15460	96.53	1100830	283428	1.42	5.45	redundans_scaffold00013	586
1	213890	1	213890	213890	213890	100.00	1345114	213890	15.90	100.00	redundans_scaffold00014	426
273092	1345114	1	1072023	1072023	1072023	100.00	1345114	1072023	79.70	100.00	redundans_scaffold00014	36
281052	296144	87935	103035	15093	15101	98.64	1345114	395080	1.12	3.82	redundans_scaffold00014	14
1128212	1143609	326134	341503	15398	15370	99.18	1345114	624240	1.14	2.46	redundans_scaffold00014	360
1128230	1143602	70622	85987	15373	15366	99.32	1345114	94931	1.14	16.19	redundans_scaffold00014	266
1128232	1143606	112028	96652	15375	15377	98.21	1345114	204321	1.14	7.53	redundans_scaffold00014	1136
1128232	1143608	127159	142504	15377	15346	99.22	1345114	146949	1.14	10.44	redundans_scaffold00014	1440
1	296556	442619	146064	296556	296556	100.00	2144369	442619	13.83	67.00	redundans_scaffold00015	784
296572	1306262	1	1009691	1009691	1009691	100.00	2144369	1012295	47.09	99.74	redundans_scaffold00015	652
1306278	1348744	1	42492	42467	42492	99.37	2144369	55922	1.98	75.98	redundans_scaffold00015	436
1346763	1392105	1	45343	45343	45343	100.00	2144369	74192	2.11	61.12	redundans_scaffold00015	1930
1392136	2144369	752234	1	752234	752234	100.00	2144369	752234	35.08	100.00	redundans_scaffold00015	50
5959	394215	388257	1	388257	388257	100.00	1550294	388257	25.04	100.00	redundans_scaffold00016	292
