/media/mike/WD_4TB/karyon_longread/concat_mrl20k_q15l15k_pepper/outputs/redundans/scaffolds.reduced.fasta /media/mike/WD_4TB/karyon_longread/data/assemblies/concat_mrl20k_q15l15k_pepper.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
195601	197930	60572	58203	2330	2370	96.80	7631931	705048	0.03	0.34	redundans_scaffold00001	716
198040	199245	111513	110297	1206	1217	88.99	7631931	139340	0.02	0.87	redundans_scaffold00001	1214
198071	202223	58203	54043	4153	4161	99.02	7631931	705048	0.05	0.59	redundans_scaffold00001	716
204903	208340	50658	54096	3438	3439	99.16	7631931	705048	0.05	0.49	redundans_scaffold00001	716
207225	208340	343343	342252	1116	1092	88.24	7631931	395080	0.01	0.28	redundans_scaffold00001	14
207225	208340	362414	361326	1116	1089	88.22	7631931	395080	0.01	0.28	redundans_scaffold00001	14
208341	217156	49764	40833	8816	8932	97.54	7631931	705048	0.12	1.27	redundans_scaffold00001	716
225640	226848	39536	38256	1209	1281	79.79	7631931	705048	0.02	0.18	redundans_scaffold00001	716
228433	229486	76667	75605	1054	1063	95.29	7631931	92565	0.01	1.15	redundans_scaffold00001	140
228435	229491	60319	61334	1057	1016	93.33	7631931	108216	0.01	0.94	redundans_scaffold00001	1608
228435	229486	418059	419093	1052	1035	95.57	7631931	512271	0.01	0.20	redundans_scaffold00001	392
232901	234537	31372	29727	1637	1646	96.98	7631931	705048	0.02	0.23	redundans_scaffold00001	716
234532	240241	11415	5714	5710	5702	98.46	7631931	705048	0.07	0.81	redundans_scaffold00001	716
237317	244827	7498	1	7511	7498	97.10	7631931	705048	0.10	1.06	redundans_scaffold00001	716
310157	312671	92774	90244	2515	2531	92.59	7631931	741226	0.03	0.34	redundans_scaffold00001	702
313102	329310	89816	73289	16209	16528	93.30	7631931	741226	0.21	2.23	redundans_scaffold00001	702
315197	329318	933368	919194	14122	14175	96.44	7631931	1115537	0.19	1.27	redundans_scaffold00001	844
372034	373107	325888	324853	1074	1036	88.13	7631931	326139	0.01	0.32	redundans_scaffold00001	728
372040	373113	49690	48640	1074	1051	90.47	7631931	428885	0.01	0.25	redundans_scaffold00001	550
435314	436421	103383	102273	1108	1111	99.19	7631931	318689	0.01	0.35	redundans_scaffold00001	1494
435314	436433	124759	123637	1120	1123	98.23	7631931	807704	0.01	0.14	redundans_scaffold00001	482
437012	440567	16153	19667	3556	3515	89.21	7631931	60856	0.05	5.78	redundans_scaffold00001	800
482717	484388	1214356	1212578	1672	1779	87.26	7631931	1233938	0.02	0.14	redundans_scaffold00001	48
497273	498832	1206962	1205415	1560	1548	90.97	7631931	1233938	0.02	0.13	redundans_scaffold00001	48
508117	513504	1189633	1184213	5388	5421	92.30	7631931	1233938	0.07	0.44	redundans_scaffold00001	48
571604	573093	1100198	1098692	1490	1507	91.35	7631931	1233938	0.02	0.12	redundans_scaffold00001	48
571617	573093	435136	436635	1477	1500	92.01	7631931	584218	0.02	0.26	redundans_scaffold00001	964
582765	584269	445395	446889	1505	1495	92.16	7631931	584218	0.02	0.26	redundans_scaffold00001	964
586517	587554	62748	61712	1038	1037	98.75	7631931	89255	0.01	1.16	redundans_scaffold00001	1138
586517	587554	62784	61752	1038	1033	98.56	7631931	454087	0.01	0.23	redundans_scaffold00001	840
586544	587554	115993	114977	1011	1017	98.63	7631931	356596	0.01	0.29	redundans_scaffold00001	424
592276	594269	455824	457813	1994	1990	93.69	7631931	584218	0.03	0.34	redundans_scaffold00001	964
596540	609567	537651	524491	13028	13161	96.59	7631931	624240	0.17	2.11	redundans_scaffold00001	360
597178	609567	1151086	1138641	12390	12446	93.80	7631931	1440284	0.16	0.86	redundans_scaffold00001	912
601885	605500	39050	35416	3616	3635	83.78	7631931	197855	0.05	1.84	redundans_scaffold00001	1092
604598	608379	515388	511555	3782	3834	97.63	7631931	624240	0.05	0.61	redundans_scaffold00001	360
609567	619317	531218	521433	9751	9786	97.81	7631931	624240	0.13	1.57	redundans_scaffold00001	360
609567	617806	1145349	1137112	8240	8238	94.19	7631931	1440284	0.11	0.57	redundans_scaffold00001	912
611261	619317	515388	507307	8057	8082	97.54	7631931	624240	0.11	1.29	redundans_scaffold00001	360
627384	629647	1052962	1050760	2264	2203	87.51	7631931	1233938	0.03	0.18	redundans_scaffold00001	48
636692	641023	1036486	1032166	4332	4321	89.21	7631931	1233938	0.06	0.35	redundans_scaffold00001	48
649404	651438	1022256	1020242	2035	2015	90.79	7631931	1233938	0.03	0.16	redundans_scaffold00001	48
652257	653866	498318	499897	1610	1580	86.63	7631931	584218	0.02	0.27	redundans_scaffold00001	964
655702	1115405	705048	245345	459704	459704	100.00	7631931	705048	6.02	65.20	redundans_scaffold00001	716
657481	659103	12913	14592	1623	1680	88.41	7631931	331815	0.02	0.51	redundans_scaffold00001	834
768292	769462	115919	117065	1171	1147	90.67	7631931	331815	0.02	0.35	redundans_scaffold00001	834
791125	792939	139506	141353	1815	1848	86.19	7631931	331815	0.02	0.56	redundans_scaffold00001	834
793157	794879	141529	143225	1723	1697	87.99	7631931	331815	0.02	0.51	redundans_scaffold00001	834
807722	812624	157728	162626	4903	4899	88.84	7631931	331815	0.06	1.48	redundans_scaffold00001	834
816573	818022	165238	166701	1450	1464	90.65	7631931	331815	0.02	0.44	redundans_scaffold00001	834
819803	822598	168780	171541	2796	2762	89.21	7631931	331815	0.04	0.83	redundans_scaffold00001	834
827019	828850	175744	177568	1832	1825	91.94	7631931	331815	0.02	0.55	redundans_scaffold00001	834
864158	865208	189160	190216	1051	1057	94.25	7631931	251885	0.01	0.42	redundans_scaffold00001	1166
893244	894510	223036	224392	1267	1357	84.55	7631931	331815	0.02	0.41	redundans_scaffold00001	834
895394	896665	948204	946920	1272	1285	90.98	7631931	982176	0.02	0.13	redundans_scaffold00001	230
901349	903586	228694	230931	2238	2238	86.79	7631931	331815	0.03	0.67	redundans_scaffold00001	834
925282	927978	249416	252127	2697	2712	84.43	7631931	331815	0.04	0.82	redundans_scaffold00001	834
947427	948658	270021	271249	1232	1229	96.46	7631931	331815	0.02	0.37	redundans_scaffold00001	834
952868	954889	273875	275893	2022	2019	88.39	7631931	331815	0.03	0.61	redundans_scaffold00001	834
1016120	1018192	322950	324960	2073	2011	90.51	7631931	331815	0.03	0.61	redundans_scaffold00001	834
1018193	1019418	279151	280382	1226	1232	89.14	7631931	323132	0.02	0.38	redundans_scaffold00001	190
1018193	1019417	132861	131641	1225	1221	91.52	7631931	871801	0.02	0.14	redundans_scaffold00001	468
1019832	1023294	325245	328534	3463	3290	85.44	7631931	331815	0.05	0.99	redundans_scaffold00001	834
1033737	1034794	7088	8165	1058	1078	88.12	7631931	38567	0.01	2.80	redundans_scaffold00001	836
1050273	1052705	16929	19301	2433	2373	83.44	7631931	38567	0.03	6.15	redundans_scaffold00001	836
1055552	1056839	21657	23023	1288	1367	87.64	7631931	38567	0.02	3.54	redundans_scaffold00001	836
1056833	1057846	23346	24411	1014	1066	86.98	7631931	38567	0.01	2.76	redundans_scaffold00001	836
1064301	1067481	30543	33785	3181	3243	87.98	7631931	38567	0.04	8.41	redundans_scaffold00001	836
1067783	1069085	34136	35441	1303	1306	87.36	7631931	38567	0.02	3.39	redundans_scaffold00001	836
1071733	1073361	1	1540	1629	1540	84.51	7631931	139340	0.02	1.11	redundans_scaffold00001	1214
1092130	1093569	11722	13160	1440	1439	88.09	7631931	44987	0.02	3.20	redundans_scaffold00001	1212
1092130	1094335	12281	14479	2206	2199	92.12	7631931	139340	0.03	1.58	redundans_scaffold00001	1214
1095173	1096859	14911	16631	1687	1721	89.76	7631931	44987	0.02	3.83	redundans_scaffold00001	1212
1095173	1096859	15412	17083	1687	1672	90.65	7631931	139340	0.02	1.20	redundans_scaffold00001	1214
1096991	1098324	17245	18538	1334	1294	90.72	7631931	139340	0.02	0.93	redundans_scaffold00001	1214
1096993	1098330	16798	18124	1338	1327	90.75	7631931	44987	0.02	2.95	redundans_scaffold00001	1212
1098654	1099816	18507	19676	1163	1170	89.61	7631931	44987	0.02	2.60	redundans_scaffold00001	1212
1098654	1099816	18820	19998	1163	1179	89.40	7631931	139340	0.02	0.85	redundans_scaffold00001	1214
1099910	1100951	19676	20701	1042	1026	92.78	7631931	44987	0.01	2.28	redundans_scaffold00001	1212
1099910	1100951	19998	21024	1042	1027	93.42	7631931	139340	0.01	0.74	redundans_scaffold00001	1214
1106016	1114658	728841	720221	8643	8621	99.58	7631931	1200772	0.11	0.72	redundans_scaffold00001	136
1115421	1266966	1	151546	151546	151546	100.00	7631931	405336	1.99	37.39	redundans_scaffold00001	1354
1123597	1124699	204425	205520	1103	1096	90.81	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1153575	1154647	218269	219367	1073	1099	84.24	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1153575	1154647	1170263	1169174	1073	1090	85.82	7631931	1440284	0.01	0.08	redundans_scaffold00001	912
1153634	1154687	228621	227558	1054	1064	83.35	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1155827	1157394	218332	219898	1568	1567	84.32	7631931	1062192	0.02	0.15	redundans_scaffold00001	26
1155827	1157394	1170200	1168657	1568	1544	85.47	7631931	1440284	0.02	0.11	redundans_scaffold00001	912
1158043	1159128	220648	221804	1086	1157	86.21	7631931	1062192	0.01	0.11	redundans_scaffold00001	26
1158043	1159140	1167944	1166820	1098	1125	91.56	7631931	1440284	0.01	0.08	redundans_scaffold00001	912
1161072	1162226	223614	224803	1155	1190	83.29	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1166487	1168276	1161460	1159707	1790	1754	86.21	7631931	1440284	0.02	0.12	redundans_scaffold00001	912
1169079	1170912	229319	231138	1834	1820	91.87	7631931	1062192	0.02	0.17	redundans_scaffold00001	26
1169079	1170913	1158868	1157066	1835	1803	92.51	7631931	1440284	0.02	0.13	redundans_scaffold00001	912
1170424	1171467	1157417	1156410	1044	1008	93.40	7631931	1440284	0.01	0.07	redundans_scaffold00001	912
1170440	1171467	230781	231853	1028	1073	91.64	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1172399	1173815	232318	233727	1417	1410	94.66	7631931	1062192	0.02	0.13	redundans_scaffold00001	26
1172399	1173815	1155962	1154594	1417	1369	91.36	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1179460	1180583	241128	242258	1124	1131	86.78	7631931	1062192	0.01	0.11	redundans_scaffold00001	26
1182034	1183195	249873	251033	1162	1161	86.55	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1182034	1183199	1134494	1133315	1166	1180	87.69	7631931	1440284	0.02	0.08	redundans_scaffold00001	912
1183410	1184917	1133197	1131717	1508	1481	84.91	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1183474	1184837	251298	252579	1364	1282	83.08	7631931	1062192	0.02	0.12	redundans_scaffold00001	26
1186059	1187400	1131161	1129783	1342	1379	86.31	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1188184	1189365	255494	256685	1182	1192	83.71	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1197778	1199744	1119630	1117650	1967	1981	88.04	7631931	1440284	0.03	0.14	redundans_scaffold00001	912
1198613	1199744	266908	268075	1132	1168	87.42	7631931	1062192	0.01	0.11	redundans_scaffold00001	26
1200055	1201119	268311	269383	1065	1073	87.96	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1204122	1206107	272469	274542	1986	2074	88.02	7631931	1062192	0.03	0.20	redundans_scaffold00001	26
1204122	1206107	1113432	1111353	1986	2080	87.91	7631931	1440284	0.03	0.14	redundans_scaffold00001	912
1209643	1210704	1108862	1107794	1062	1069	91.73	7631931	1440284	0.01	0.07	redundans_scaffold00001	912
1211405	1212420	279088	280195	1016	1108	85.77	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1212556	1214272	280365	282092	1717	1728	90.34	7631931	1062192	0.02	0.16	redundans_scaffold00001	26
1216424	1217881	284388	285867	1458	1480	90.98	7631931	1062192	0.02	0.14	redundans_scaffold00001	26
1216424	1217881	1101661	1100187	1458	1475	90.67	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1217767	1218859	285937	287037	1093	1101	93.75	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1217767	1218972	1100117	1098907	1206	1211	91.78	7631931	1440284	0.02	0.08	redundans_scaffold00001	912
1218991	1219998	286952	287953	1008	1002	89.92	7631931	1062192	0.01	0.09	redundans_scaffold00001	26
1220408	1221866	288004	289479	1459	1476	91.03	7631931	1062192	0.02	0.14	redundans_scaffold00001	26
1222103	1225307	1096142	1092963	3205	3180	88.53	7631931	1440284	0.04	0.22	redundans_scaffold00001	912
1229848	1232045	297966	300150	2198	2185	88.58	7631931	1062192	0.03	0.21	redundans_scaffold00001	26
1232670	1234657	1084525	1082503	1988	2023	89.67	7631931	1440284	0.03	0.14	redundans_scaffold00001	912
1245281	1247205	311707	313621	1925	1915	88.51	7631931	1062192	0.03	0.18	redundans_scaffold00001	26
1245750	1247554	1078909	1077111	1805	1799	89.01	7631931	1440284	0.02	0.12	redundans_scaffold00001	912
1247707	1248965	1077068	1075807	1259	1262	88.01	7631931	1440284	0.02	0.09	redundans_scaffold00001	912
1249292	1253990	1074498	1069842	4699	4657	88.10	7631931	1440284	0.06	0.32	redundans_scaffold00001	912
1250170	1253990	316968	320714	3821	3747	88.29	7631931	1062192	0.05	0.35	redundans_scaffold00001	26
1266982	1735038	1	468057	468057	468057	100.00	7631931	526910	6.13	88.83	redundans_scaffold00001	340
1268518	1269766	1192578	1191347	1249	1232	89.85	7631931	1440284	0.02	0.09	redundans_scaffold00001	912
1268521	1269766	195517	196727	1246	1211	87.57	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1270118	1271489	197376	198750	1372	1375	87.75	7631931	1062192	0.02	0.13	redundans_scaffold00001	26
1270118	1271489	1190701	1189321	1372	1381	88.37	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1271780	1273235	199004	200478	1456	1475	95.68	7631931	1062192	0.02	0.14	redundans_scaffold00001	26
1271780	1273235	1189066	1187594	1456	1473	96.54	7631931	1440284	0.02	0.10	redundans_scaffold00001	912
1273848	1275045	1187496	1186176	1198	1321	83.48	7631931	1440284	0.02	0.09	redundans_scaffold00001	912
1275196	1276833	1186209	1184484	1638	1726	89.12	7631931	1440284	0.02	0.12	redundans_scaffold00001	912
1276864	1279377	204427	206976	2514	2550	86.72	7631931	1062192	0.03	0.24	redundans_scaffold00001	26
1277214	1279394	1183859	1181665	2181	2195	88.22	7631931	1440284	0.03	0.15	redundans_scaffold00001	912
1278336	1279377	731746	730702	1042	1045	87.74	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1279682	1280828	207277	208420	1147	1144	85.37	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1279682	1281280	1181125	1179522	1599	1604	85.09	7631931	1440284	0.02	0.11	redundans_scaffold00001	912
1289373	1292826	150472	153940	3454	3469	99.08	7631931	241079	0.05	1.44	redundans_scaffold00001	298
1362551	1363894	276998	278302	1344	1305	84.15	7631931	1062192	0.02	0.12	redundans_scaffold00001	26
1373303	1375922	1099060	1096518	2620	2543	86.20	7631931	1440284	0.03	0.18	redundans_scaffold00001	912
1377159	1379962	290967	293746	2804	2780	89.99	7631931	1062192	0.04	0.26	redundans_scaffold00001	26
1377159	1381486	1095029	1090711	4328	4319	90.29	7631931	1440284	0.06	0.30	redundans_scaffold00001	912
1380649	1382877	294575	296843	2229	2269	85.90	7631931	1062192	0.03	0.21	redundans_scaffold00001	26
1381705	1382850	1090511	1089296	1146	1216	84.75	7631931	1440284	0.02	0.08	redundans_scaffold00001	912
1383233	1385313	1088963	1086867	2081	2097	89.22	7631931	1440284	0.03	0.15	redundans_scaffold00001	912
1385915	1386971	306636	307694	1057	1059	91.11	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1386132	1387439	1084822	1083519	1308	1304	90.35	7631931	1440284	0.02	0.09	redundans_scaffold00001	912
1397080	1398429	301322	302657	1350	1336	91.20	7631931	1062192	0.02	0.13	redundans_scaffold00001	26
1402669	1404413	314165	315811	1745	1647	86.74	7631931	1062192	0.02	0.16	redundans_scaffold00001	26
1404411	1406797	316092	318462	2387	2371	88.49	7631931	1062192	0.03	0.22	redundans_scaffold00001	26
1411936	1413049	323582	324695	1114	1114	85.86	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1421545	1423160	150962	152558	1616	1597	85.97	7631931	405336	0.02	0.39	redundans_scaffold00001	1354
1429227	1430261	174978	176070	1035	1093	87.13	7631931	405336	0.01	0.27	redundans_scaffold00001	1354
1431430	1432503	177444	178472	1074	1029	87.35	7631931	405336	0.01	0.25	redundans_scaffold00001	1354
1434512	1436695	352141	354339	2184	2199	87.48	7631931	1062192	0.03	0.21	redundans_scaffold00001	26
1436996	1440201	209089	212332	3206	3244	91.03	7631931	405336	0.04	0.80	redundans_scaffold00001	1354
1440741	1443543	213539	216216	2803	2678	84.27	7631931	405336	0.04	0.66	redundans_scaffold00001	1354
1482966	1484013	242929	243931	1048	1003	88.03	7631931	405336	0.01	0.25	redundans_scaffold00001	1354
1486882	1488376	156655	158072	1495	1418	85.48	7631931	405336	0.02	0.35	redundans_scaffold00001	1354
1486943	1488343	371723	373179	1401	1457	86.90	7631931	1062192	0.02	0.14	redundans_scaffold00001	26
1487178	1488347	246782	247968	1170	1187	94.81	7631931	405336	0.02	0.29	redundans_scaffold00001	1354
1488543	1489771	248063	249255	1229	1193	81.10	7631931	405336	0.02	0.29	redundans_scaffold00001	1354
1492640	1494934	252284	254626	2295	2343	87.67	7631931	405336	0.03	0.58	redundans_scaffold00001	1354
1497153	1499309	257123	259237	2157	2115	94.53	7631931	405336	0.03	0.52	redundans_scaffold00001	1354
1499301	1506606	259408	266693	7306	7286	97.12	7631931	405336	0.10	1.80	redundans_scaffold00001	1354
1501598	1507262	403072	408837	5665	5766	87.60	7631931	1062192	0.07	0.54	redundans_scaffold00001	26
1507755	1510756	267624	270649	3002	3026	88.19	7631931	405336	0.04	0.75	redundans_scaffold00001	1354
1516618	1518224	277901	279438	1607	1538	86.61	7631931	405336	0.02	0.38	redundans_scaffold00001	1354
1516618	1518222	442216	443894	1605	1679	88.12	7631931	1062192	0.02	0.16	redundans_scaffold00001	26
1518940	1522888	279530	283470	3949	3941	92.66	7631931	405336	0.05	0.97	redundans_scaffold00001	1354
1521841	1523384	287750	289302	1544	1553	92.88	7631931	405336	0.02	0.38	redundans_scaffold00001	1354
1525606	1528047	290346	292770	2442	2425	92.18	7631931	405336	0.03	0.60	redundans_scaffold00001	1354
1528242	1531540	292802	296119	3299	3318	92.90	7631931	405336	0.04	0.82	redundans_scaffold00001	1354
1535225	1536835	300060	301655	1611	1596	93.49	7631931	405336	0.02	0.39	redundans_scaffold00001	1354
1537581	1538686	302468	303565	1106	1098	95.41	7631931	405336	0.01	0.27	redundans_scaffold00001	1354
1538992	1539992	303691	304696	1001	1006	95.53	7631931	405336	0.01	0.25	redundans_scaffold00001	1354
1540245	1542366	304978	307091	2122	2114	90.47	7631931	405336	0.03	0.52	redundans_scaffold00001	1354
1541996	1543121	469491	470602	1126	1112	85.04	7631931	1062192	0.01	0.10	redundans_scaffold00001	26
1542657	1547144	307317	311766	4488	4450	92.91	7631931	405336	0.06	1.10	redundans_scaffold00001	1354
1547176	1549471	312962	315309	2296	2348	91.45	7631931	405336	0.03	0.58	redundans_scaffold00001	1354
1550405	1551514	1141040	1139944	1110	1097	97.30	7631931	1200772	0.01	0.09	redundans_scaffold00001	136
1550405	1551514	213095	214136	1110	1042	91.83	7631931	973870	0.01	0.11	redundans_scaffold00001	308
1551660	1558994	316283	323521	7335	7239	93.13	7631931	405336	0.10	1.79	redundans_scaffold00001	1354
1554323	1556907	481782	484295	2585	2514	85.67	7631931	1062192	0.03	0.24	redundans_scaffold00001	26
1559459	1563755	420859	416571	4297	4289	99.51	7631931	973870	0.06	0.44	redundans_scaffold00001	308
1559584	1564338	1	4749	4755	4749	99.02	7631931	304075	0.06	1.56	redundans_scaffold00001	402
1564793	1568534	16239	12477	3742	3763	99.31	7631931	159658	0.05	2.36	redundans_scaffold00001	1570
1564923	1568197	202176	205448	3275	3273	99.51	7631931	257409	0.04	1.27	redundans_scaffold00001	1258
1564923	1566089	4749	5911	1167	1163	99.49	7631931	304075	0.02	0.38	redundans_scaffold00001	402
1572484	1573693	490786	491958	1210	1173	86.28	7631931	1062192	0.02	0.11	redundans_scaffold00001	26
1574209	1576204	325211	327266	1996	2056	89.24	7631931	405336	0.03	0.51	redundans_scaffold00001	1354
1576526	1579415	327656	330604	2890	2949	92.06	7631931	405336	0.04	0.73	redundans_scaffold00001	1354
1581467	1587586	332580	338727	6120	6148	97.21	7631931	405336	0.08	1.52	redundans_scaffold00001	1354
1587924	1589711	338803	340614	1788	1812	94.99	7631931	405336	0.02	0.45	redundans_scaffold00001	1354
1591931	1618803	343061	370096	26873	27036	98.53	7631931	405336	0.35	6.67	redundans_scaffold00001	1354
1604292	1605888	341106	339513	1597	1594	91.46	7631931	405336	0.02	0.39	redundans_scaffold00001	1354
1612145	1614159	554646	556603	2015	1958	83.01	7631931	1062192	0.03	0.18	redundans_scaffold00001	26
1619229	1625763	370410	376884	6535	6475	94.45	7631931	405336	0.09	1.60	redundans_scaffold00001	1354
1619236	1623728	561369	565905	4493	4537	87.59	7631931	1062192	0.06	0.43	redundans_scaffold00001	26
1623960	1625807	622090	620248	1848	1843	94.22	7631931	871801	0.02	0.21	redundans_scaffold00001	468
1624156	1625819	1240826	1242483	1664	1658	94.69	7631931	2072160	0.02	0.08	redundans_scaffold00001	40
1624655	1625819	261660	260515	1165	1146	95.19	7631931	512271	0.02	0.22	redundans_scaffold00001	392
1626154	1628151	378786	380809	1998	2024	90.35	7631931	405336	0.03	0.50	redundans_scaffold00001	1354
1626167	1628153	568237	570287	1987	2051	88.85	7631931	1062192	0.03	0.19	redundans_scaffold00001	26
1628268	1630477	570308	572496	2210	2189	89.46	7631931	1062192	0.03	0.21	redundans_scaffold00001	26
1629081	1633519	381598	386058	4439	4461	90.75	7631931	405336	0.06	1.10	redundans_scaffold00001	1354
1631331	1632855	573366	574896	1525	1531	91.18	7631931	1062192	0.02	0.14	redundans_scaffold00001	26
1634128	1637133	576270	579319	3006	3050	87.77	7631931	1062192	0.04	0.29	redundans_scaffold00001	26
1637965	1640038	579333	581371	2074	2039	88.10	7631931	1062192	0.03	0.19	redundans_scaffold00001	26
1638551	1640014	386209	387710	1464	1502	89.08	7631931	405336	0.02	0.37	redundans_scaffold00001	1354
1640600	1643147	387784	390322	2548	2539	98.71	7631931	405336	0.03	0.63	redundans_scaffold00001	1354
1643261	1652986	390874	400591	9726	9718	95.97	7631931	405336	0.13	2.40	redundans_scaffold00001	1354
1644521	1646861	585833	588191	2341	2359	90.30	7631931	1062192	0.03	0.22	redundans_scaffold00001	26
1653196	1657740	400797	405336	4545	4540	97.35	7631931	405336	0.06	1.12	redundans_scaffold00001	1354
1669313	1672216	443571	446468	2904	2898	99.66	7631931	624240	0.04	0.46	redundans_scaffold00001	360
1669321	1672217	96329	93344	2897	2986	93.83	7631931	112723	0.04	2.65	redundans_scaffold00001	1766
1672212	1675123	614992	617815	2912	2824	89.21	7631931	1062192	0.04	0.27	redundans_scaffold00001	26
1683564	1686870	154997	158262	3307	3266	90.26	7631931	160460	0.04	2.04	redundans_scaffold00001	466
1683564	1686870	158346	155089	3307	3258	90.79	7631931	160460	0.04	2.03	redundans_scaffold00001	466
1683564	1686877	2124	5426	3314	3303	90.87	7631931	157741	0.04	2.09	redundans_scaffold00001	696
